Date,"Transaction ID:",Details,Turnover,Balance,Currency
"2020-01-03 01:07:35",-514141364,"Loan 24882767-01 - principal received",4.3634876909129,5.4551101445832,EUR
"2020-01-03 01:07:36",-514141367,"Loan 24882767-01 - interest received",0.25935450277404,5.7144646473573,EUR
"2020-01-03 01:17:16",-514141370,"Loan 25599743-01 - principal received",0.42024510392887,6.1347097512861,EUR
"2020-01-03 01:17:17",-514141374,"Loan 25599743-01 - interest received",0.0090609251471809,6.1437706764333,EUR
"2020-01-03 01:17:37",-514141376,"Loan 19927434-01 - interest received",0.0045356944444418,6.1483063708778,EUR
"2020-01-03 01:18:08",-514141379,"Loan 19927434-01 - principal received",0.042890922020452,6.1911972928982,EUR
"2020-01-03 01:24:01",-514141382,"Loan 23068149-01 - principal received",0.029113458405591,6.2203107513038,EUR
"2020-01-03 01:24:05",-514141388,"Loan 23068149-01 - interest received",0.0013311612100822,6.2216419125139,EUR
"2020-01-03 01:24:26",-514141391,"Loan 23494072-01 - principal received",0.10410777512306,6.325749687637,EUR
"2020-01-03 01:24:30",-514141401,"Loan 23494072-01 - interest received",0.000951111111111,6.3267007987481,EUR
"2020-01-03 10:58:24",1391603918,"Loan 26082356-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-6.38,-0.053299201251937,EUR
"2020-01-03 22:59:52",-514141404,"Loan 24921831-01 - interest received",0.022774222643028,-0.030524978608909,EUR
"2020-01-03 23:12:24",-514141407,"Loan 21157525-01 - interest received",0.002170359711,-0.028354618897909,EUR
"2020-01-03 23:12:28",-514141410,"Loan 21157525-01 - principal received",0.047266187050359,0.01891156815245,EUR
"2020-01-03 23:16:56",-514141412,"Loan 23500807-01 - interest received",0.006640781784,0.02555234993645,EUR
"2020-01-03 23:17:03",-514141415,"Loan 23500807-01 - principal received",0.011169997614577,0.036722347551027,EUR
"2020-01-03 23:28:02",-514141418,"Loan 24423260-01 - interest received",0.017065694444435,0.053788041995462,EUR
"2020-01-03 23:28:12",-514141421,"Loan 24423260-01 - late fees received",3.41551565464E-5,0.053822197152009,EUR
"2020-01-03 23:37:57",-514141423,"Loan 24352129-01 - interest received",0.008914282972,0.062736480124009,EUR
"2020-01-03 23:38:02",-514141427,"Loan 24352129-01 - principal received",0.009955,0.072691480124009,EUR
"2020-01-03 23:40:43",-514141430,"Loan 24423260-01 - principal received",0.025007502454112,0.097698982578121,EUR
"2020-01-04 00:09:06",-514141432,"Loan 23844379-01 - interest received",0.015085626872057,0.11278460945018,EUR
"2020-01-04 00:09:09",-514141435,"Loan 23844379-01 - principal received",0.22256189253622,0.3353465019864,EUR
"2020-01-04 00:09:12",-514141440,"Loan 23844501-01 - interest received",1.64696502167E-5,0.33536297163661,EUR
"2020-01-04 00:20:03",-514141443,"Loan 20537855-01 - late payment interest received",7.48176883011E-5,0.33543778932491,EUR
"2020-01-04 00:20:17",-514141446,"Loan 20537855-01 - principal received",0.018639700891822,0.35407749021673,EUR
"2020-01-04 00:22:20",-514141448,"Loan 21160884-01 - interest received",0.003250736269928,0.35732822648666,EUR
"2020-01-04 00:22:25",-514141465,"Loan 21160884-01 - principal received",0.072340792989982,0.42966901947664,EUR
"2020-01-04 00:31:26",-514141470,"Loan 20768906-01 - interest received",5.28333359534E-5,0.4297218528126,EUR
"2020-01-04 00:31:43",-514141473,"Loan 23844374-01 - interest received",1.07991135461E-5,0.42973265192614,EUR
"2020-01-04 00:34:08",-514141476,"Loan 21156653-01 - interest received",9.2743962124E-5,0.42982539588827,EUR
"2020-01-04 00:36:43",-514141479,"Loan 21158057-01 - interest received",3.34048028371E-5,0.42985880069111,EUR
"2020-01-04 00:38:28",-514141482,"Loan 23844389-01 - interest received",0.0024619783992223,0.43232077909033,EUR
"2020-01-04 00:38:41",-514141485,"Loan 23844389-01 - principal received",0.030399623999701,0.46272040309003,EUR
"2020-01-04 01:01:51",-514141488,"Loan 23770476-01 - principal received",0.30667750141323,0.76939790450326,EUR
"2020-01-04 01:01:54",-514141491,"Loan 23770476-01 - interest received",0.006384225551158,0.77578213005441,EUR
"2020-01-04 01:13:00",-514141494,"Loan 24292775-01 - principal received",0.34738803060578,1.1231701606602,EUR
"2020-01-04 01:13:01",-514141497,"Loan 24292775-01 - interest received",0.034441989267396,1.1576121499276,EUR
